Trimestre;Tipo de producto;Corredor;Empresa;Tipo de servicio;Ingresos por venta de billetes;Plazas Ofertadas;Plazas.km Ofertadas (Plazas.km);Tren.km (Tren.km);Viajeros;Viajeros.km (Viajeros.km)
2025T2;LD AV;Madrid-Alicante;Iryo;Comercial;;85746;41758302;90582;57119;26978376
2025T2;LD AV;Madrid-Alicante;OUIGO;Comercial;;415149;222596304;440602;364654;168351357
2025T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;955525;446880593;1266081;724990;306888398
2025T2;LD AV;Madrid-Barcelona;Iryo;Comercial;;948250;624818568;1355355;914408;518039793
2025T2;LD AV;Madrid-Barcelona;OUIGO;Comercial;;622203;366908724;524856;615726;355654698
2025T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2156762;1334660936;2843689;2414745;1132727216
2025T2;LD AV;Madrid-Barcelona;Total;Comercial;182504646;;;;;
2025T2;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;367543;197771466;429005;302096;142253252
2025T2;LD AV;Madrid-Málaga/Granada;OUIGO;Comercial;;180747;92542464;187392;169782;76279983
2025T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1110031;572675127;1383662;1036027;458499252
2025T2;LD AV;Madrid-Málaga/Granada;Total;Comercial;57633626;;;;;
2025T2;LD AV;Madrid-Sevilla;Iryo;Comercial;;446631;223632168;485102;371530;158469893
2025T2;LD AV;Madrid-Sevilla;OUIGO;Comercial;;267908;125816760;254740;231565;96903170
2025T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1104463;513069272;1294868;1030097;421189119
2025T2;LD AV;Madrid-Sevilla;Total;Comercial;63535441;;;;;
2025T2;LD AV;Madrid-Valencia;Iryo;Comercial;;622811;247878778;537698;437129;173092555
2025T2;LD AV;Madrid-Valencia;OUIGO;Comercial;;413216;175645687;348643;367010;145444296
2025T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;1097271;438045191;1053968;808062;307262529
2025T2;LD AV;Madrid-Valencia;Total;Comercial;43663449;;;;;
2025T2;LD AV;Resto;Total;Comercial;;1984749;1275503964;2521620;1991901;980177532
2025T2;LD Convencional;Total;Total;Comercial;;2520021;1275539810;4505460;2281601;887576931
2025T2;MD AV;Total;Total;OSP;;4269331;690665226;2065463;3455884;443713154
2025T2;MD Convencional;Total;Total;OSP;;14208335;1953228293;7686092;9280097;968388753
2025T3;Cercanías;Total;Total;OSP;;114349606;5370669973;14742537;98623433;1506139285
2025T3;LD AV;Madrid-Alicante;Iryo;Comercial;;145676;70944212;153892;113201;54178093
2025T3;LD AV;Madrid-Alicante;OUIGO;Comercial;;408790;220865967;453269;388896;180732194
2025T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;985078;464413429;1323420;788250;336023679
2025T3;LD AV;Madrid-Barcelona;Iryo;Comercial;;868139;582574396;1263719;778999;446067810
2025T3;LD AV;Madrid-Barcelona;OUIGO;Comercial;;547603;342130323;573648;553895;322272579
2025T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1936144;1195417078;2585052;2211009;1017998928
2025T3;LD AV;Madrid-Barcelona;Total;Comercial;159498393;;;;;
2025T3;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;453149;241155468;523114;363648;176855122
2025T3;LD AV;Madrid-Málaga/Granada;OUIGO;Comercial;;270244;138364928;314368;248698;114905840
2025T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1189805;614727542;1482769;1035730;465998716
2025T3;LD AV;Madrid-Málaga/Granada;Total;Comercial;56693532;;;;;
2025T3;LD AV;Madrid-Sevilla;Iryo;Comercial;;382226;199241381;432194;319356;140486030
2025T3;LD AV;Madrid-Sevilla;OUIGO;Comercial;;201153;94541910;218080;165524;70170111
2025T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;963153;446312995;1170566;865986;356997206
2025T3;LD AV;Madrid-Sevilla;Total;Comercial;44281562;;;;;
2025T3;LD AV;Madrid-Valencia;Iryo;Comercial;;639868;254667464;552424;459865;182082039
2025T3;LD AV;Madrid-Valencia;OUIGO;Comercial;;416585;179563203;360759;394398;156249922
2025T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;1068368;434109866;1055311;840451;321602502
2025T3;LD AV;Madrid-Valencia;Total;Comercial;46233003;;;;;
2025T3;LD AV;Resto;Total;Comercial;;2207338;1406642342;2682459;2266329;1126540758
2025T3;LD Convencional;Total;Total;Comercial;;2577808;1308300727;4515948;2509903;976286193
2025T3;MD AV;Total;Total;OSP;;4132537;673497283;2080672;3125950;366101498
2025T3;MD Convencional;Total;Total;OSP;;14262921;2037956714;7890007;8244740;779591106
2025T4;Cercanías;Total;Total;OSP;;111215258;5536997121;14870767;116995789;1922127389
2025T4;LD AV;Madrid-Alicante;Iryo;Comercial;;35958;17511546;37986;21994;10351387
2025T4;LD AV;Madrid-Alicante;OUIGO;Comercial;;407608;226010764;447164;375050;178555033
2025T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;893065;419066623;1206962;629433;268720586
2025T4;LD AV;Madrid-Barcelona;Iryo;Comercial;;1028103;700702028;1519961;796084;470054415
2025T4;LD AV;Madrid-Barcelona;OUIGO;Comercial;;669715;421242742;584393;633257;371931105
2025T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1945671;1203628158;2894727;1848185;853413090
2025T4;LD AV;Madrid-Barcelona;Total;Comercial;197736476;;;;;
2025T4;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;339713;187589081;406918;257718;121609774
2025T4;LD AV;Madrid-Málaga/Granada;OUIGO;Comercial;;248622;127294464;264192;206500;92535909
2025T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1051666;544628768;1349572;893371;394988823
2025T4;LD AV;Madrid-Málaga/Granada;Total;Comercial;50352055;;;;;
2025T4;LD AV;Madrid-Sevilla;Iryo;Comercial;;435495;224782860;487598;332125;142412732
2025T4;LD AV;Madrid-Sevilla;OUIGO;Comercial;;356597;169636951;343185;290045;119737773
2025T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1050743;489641715;1221633;940880;390081102
2025T4;LD AV;Madrid-Sevilla;Total;Comercial;59286914;;;;;
2025T4;LD AV;Madrid-Valencia;Iryo;Comercial;;557810;222008380;481580;356256;141287835
2025T4;LD AV;Madrid-Valencia;OUIGO;Comercial;;406919;178083327;352232;359717;142153726
2025T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;1089499;434126814;1044245;742156;283159979
2025T4;LD AV;Madrid-Valencia;Total;Comercial;44243719;;;;;
2025T4;LD AV;Resto;Total;Comercial;;2155643;1334865217;2683116;1956290;927010179
2025T4;LD Convencional;Total;Total;Comercial;;2423088;1226029328;4438802;2035727;772296507
2025T4;MD AV;Total;Total;OSP;;4416664;722756293;2094392;3695418;507083791
2025T4;MD Convencional;Total;Total;OSP;;14697577;2020819532;7943243;8854642;1008086589
