Mes;Empresa;Tipo de servicio;Tipo de producto;Trayecto;Precio (€)
2023-12;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;30,45
2023-12;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;50,11
2023-12;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;49,79
2023-12;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;43,02
2023-12;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;25,7
2023-12;Total;Comercial;LD AV;Madrid-Alicante;41,37
2023-12;Total;Comercial;LD AV;Madrid-Barcelona;56,54
2023-12;Total;Comercial;LD AV;Madrid-Málaga;57,54
2023-12;Total;Comercial;LD AV;Madrid-Sevilla;58,55
2023-12;Total;Comercial;LD AV;Madrid-Valencia;32,95
2024-01;Iryo;Comercial;LD AV;Madrid-Alicante;24,41
2024-01;Iryo;Comercial;LD AV;Madrid-Barcelona;36,94
2024-01;Iryo;Comercial;LD AV;Madrid-Málaga;33,67
2024-01;Iryo;Comercial;LD AV;Madrid-Sevilla;37,39
2024-01;Iryo;Comercial;LD AV;Madrid-Valencia;19,99
2024-01;OUIGO;Comercial;LD AV;Madrid-Alicante;21,3
2024-01;OUIGO;Comercial;LD AV;Madrid-Barcelona;29,71
2024-01;OUIGO;Comercial;LD AV;Madrid-Valencia;18,01
2024-01;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;43,86
2024-01;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;54,94
2024-01;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;44,91
2024-01;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;45,93
2024-01;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;35,15
2024-01;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;20,24
2024-01;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;34,94
2024-01;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;32,29
2024-01;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;30,07
2024-01;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;18,47
2024-01;Total;Comercial;LD AV;Madrid-Alicante;35,54
2024-01;Total;Comercial;LD AV;Madrid-Barcelona;44,04
2024-01;Total;Comercial;LD AV;Madrid-Málaga;40,86
2024-01;Total;Comercial;LD AV;Madrid-Sevilla;42,62
2024-01;Total;Comercial;LD AV;Madrid-Valencia;25,64
2024-02;Iryo;Comercial;LD AV;Madrid-Alicante;28,79
2024-02;Iryo;Comercial;LD AV;Madrid-Barcelona;42,18
2024-02;Iryo;Comercial;LD AV;Madrid-Málaga;37,94
2024-02;Iryo;Comercial;LD AV;Madrid-Sevilla;43,36
2024-02;Iryo;Comercial;LD AV;Madrid-Valencia;20,5
2024-02;OUIGO;Comercial;LD AV;Madrid-Alicante;21,22
2024-02;OUIGO;Comercial;LD AV;Madrid-Barcelona;34,08
2024-02;OUIGO;Comercial;LD AV;Madrid-Valencia;18,54
2024-02;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;41,23
2024-02;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;65,56
2024-02;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;43,49
2024-02;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;51,24
2024-02;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;33,27
2024-02;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;20,38
2024-02;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;37,95
2024-02;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;36,37
2024-02;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;36,94
2024-02;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;18,86
2024-02;Total;Comercial;LD AV;Madrid-Alicante;34,36
2024-02;Total;Comercial;LD AV;Madrid-Barcelona;51,85
2024-02;Total;Comercial;LD AV;Madrid-Málaga;41,53
2024-02;Total;Comercial;LD AV;Madrid-Sevilla;48,16
2024-02;Total;Comercial;LD AV;Madrid-Valencia;25,19
2024-03;Iryo;Comercial;LD AV;Madrid-Alicante;33,03
2024-03;Iryo;Comercial;LD AV;Madrid-Barcelona;48,97
2024-03;Iryo;Comercial;LD AV;Madrid-Málaga;45,78
2024-03;Iryo;Comercial;LD AV;Madrid-Sevilla;47,85
2024-03;Iryo;Comercial;LD AV;Madrid-Valencia;27,82
2024-03;OUIGO;Comercial;LD AV;Madrid-Alicante;26,96
2024-03;OUIGO;Comercial;LD AV;Madrid-Barcelona;40,07
2024-03;OUIGO;Comercial;LD AV;Madrid-Valencia;25,05
2024-03;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;42,23
2024-03;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;67,17
2024-03;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;53,41
2024-03;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;56,21
2024-03;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;37,52
2024-03;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;25,22
2024-03;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;44,71
2024-03;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;47,02
2024-03;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;41,1
2024-03;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;24
2024-03;Total;Comercial;LD AV;Madrid-Alicante;36,73
2024-03;Total;Comercial;LD AV;Madrid-Barcelona;56,06
2024-03;Total;Comercial;LD AV;Madrid-Málaga;50,9
